Номер пакета	Время	Широта	Долгота	Высота	fix GPS
0	0.0	0.0	0.0	9.375260698184014e-38	32
1	1.2510000467300415	0.0	0.0	0.0	0
1	1.5789999961853027	0.0	0.0	0.0	0
1	1.5789999961853027	0.0	0.0	0.0	0
1	1.593999981880188	0.0	0.0	0.0	0
1	1.600000023841858	0.0	0.0	0.0	0
1	1.600000023841858	0.0	0.0	0.0	0
1	1.6139999628067017	0.0	0.0	0.0	0
1	1.61899995803833	0.0	0.0	0.0	0
1	1.6200000047683716	0.0	0.0	0.0	0
1	1.6330000162124634	0.0	0.0	0.0	0
1	1.6339999437332153	0.0	0.0	0.0	0
1	1.6480000019073486	0.0	0.0	0.0	0
1	1.6540000438690186	0.0	0.0	0.0	0
1	1.6549999713897705	0.0	0.0	0.0	0
1	1.6690000295639038	0.0	0.0	0.0	0
2	1.6690000295639038	0.0	0.0	0.0	0
2	1.6749999523162842	0.0	0.0	0.0	0
2	1.690999984741211	0.0	0.0	0.0	0
2	1.6970000267028809	0.0	0.0	0.0	0
2	1.6970000267028809	0.0	0.0	0.0	0
2	1.7120000123977661	0.0	0.0	0.0	0
2	1.7120000123977661	0.0	0.0	0.0	0
2	1.7259999513626099	0.0	0.0	0.0	0
2	1.7319999933242798	0.0	0.0	0.0	0
2	1.7330000400543213	0.0	0.0	0.0	0
2	1.746999979019165	0.0	0.0	0.0	0
2	1.746999979019165	0.0	0.0	0.0	0
2	1.7610000371932983	0.0	0.0	0.0	0
2	1.7669999599456787	0.0	0.0	0.0	0
3	1.7680000066757202	0.0	0.0	0.0	0
3	1.784999966621399	0.0	0.0	0.0	0
3	1.784999966621399	0.0	0.0	0.0	0
3	1.7999999523162842	0.0	0.0	0.0	0
3	1.8070000410079956	0.0	0.0	0.0	0
3	1.8070000410079956	0.0	0.0	0.0	0
3	1.8209999799728394	0.0	0.0	0.0	0
3	1.8259999752044678	0.0	0.0	0.0	0
3	1.8270000219345093	0.0	0.0	0.0	0
3	1.840000033378601	0.0	0.0	0.0	0
3	1.847000002861023	0.0	0.0	0.0	0
3	1.847000002861023	0.0	0.0	0.0	0
3	1.8609999418258667	0.0	0.0	0.0	0
3	1.8609999418258667	0.0	0.0	0.0	0
3	1.875	0.0	0.0	0.0	0
4	1.8760000467300415	0.0	0.0	0.0	0
4	1.8819999694824219	0.0	0.0	0.0	0
4	1.8949999809265137	0.0	0.0	0.0	0
4	1.899999976158142	0.0	0.0	0.0	0
4	1.9010000228881836	0.0	0.0	0.0	0
4	1.9170000553131104	0.0	0.0	0.0	0
4	1.9220000505447388	0.0	0.0	0.0	0
4	1.9229999780654907	0.0	0.0	0.0	0
4	1.9359999895095825	0.0	0.0	0.0	0
4	1.937000036239624	0.0	0.0	0.0	0
4	1.9509999752044678	0.0	0.0	0.0	0
4	1.9570000171661377	0.0	0.0	0.0	0
4	1.9570000171661377	0.0	0.0	0.0	0
4	1.972000002861023	0.0	0.0	0.0	0
5	1.972000002861023	0.0	0.0	0.0	0
5	1.9889999628067017	0.0	0.0	0.0	0
5	1.9889999628067017	0.0	0.0	0.0	0
5	2.003000020980835	0.0	0.0	0.0	0
5	2.009000062942505	0.0	0.0	0.0	0
5	2.009999990463257	0.0	0.0	0.0	0
5	2.0239999294281006	0.0	0.0	0.0	0
5	2.0299999713897705	0.0	0.0	0.0	0
5	2.0299999713897705	0.0	0.0	0.0	0
5	2.0450000762939453	0.0	0.0	0.0	0
5	2.0510001182556152	0.0	0.0	0.0	0
5	2.0510001182556152	0.0	0.0	0.0	0
5	2.065000057220459	0.0	0.0	0.0	0
5	2.069999933242798	0.0	0.0	0.0	0
5	2.071000099182129	0.0	0.0	0.0	0
6	2.0799999237060547	0.0	0.0	0.0	0
6	2.0859999656677246	0.0	0.0	0.0	0
6	2.0980000495910645	0.0	0.0	0.0	0
6	2.1029999256134033	0.0	0.0	0.0	0
